kepid_x,kepoi_name,koi_tce_plnt_num,koi_pdisposition,koi_score,koi_period,koi_max_mult_ev,koi_prad,koi_prad_err1,koi_prad_err2,koi_ror,koi_ror_err1,koi_ror_err2,radius,radius_err1,radius_err2,teff,corrected_prad,corrected_prad_err1,corrected_prad_err2,rowid,kepid_y,fpp_koi_period,fpp_prob,fpEffectiveness,obsFpRate,reliability,fpp_prob_use,totalReliability
10811496,K00753.01,1,FALSE POSITIVE,0.0,19.89913995,187.4491,14.6,3.92,-1.31,0.15404600000000002,5.034292,-0.042179,1.2329999999999999,0.111,-0.1,5853,20.787246116379308,679.339053780285,-5.936148219163245,1271,10811496,19.899,0.93,0.9975989262258638,1.4555373427636417e-17,1.0,0.93,0.06999999999999995
10848459,K00754.01,1,FALSE POSITIVE,0.0,1.7369524530000002,541.8951,33.46,8.5,-2.83,0.387394,0.109232,-0.08495,1.3980000000000001,0.146,-0.129,5805,59.27117230499623,17.821962105320416,-14.101168051972294,1272,10848459,1.737,1.0,0.9975989262258647,3.949904779762551e-49,1.0,1.0,0.0
9579641,K00115.03,3,CANDIDATE,0.871,3.43591631,7.4337807,0.55,0.08,-0.07,0.004612,0.000197,-0.0005650000000000001,1.036,0.045,-0.042,5779,0.5229166974578404,0.031856115876833624,-0.06747728722289187,103,9579641,3.436,0.04,0.8060617035624761,0.08247856198442742,0.9783718113821074,0.04,0.939236938926823
9579641,K00115.01,1,CANDIDATE,1.0,5.412203927,163.47614,2.94,0.43,-0.38,0.024775,6e-05,-0.001886,1.036,0.045,-0.042,5779,2.80903321325195,0.122203492213546,-0.242271098692636,101,9579641,5.412,7.1e-06,0.9975989262257792,1.4157014627388746e-15,1.0,7.1e-06,0.9999929
9579641,K00115.02,2,CANDIDATE,1.0,7.12594387,39.793564,1.79,0.26,-0.23,0.015119999999999996,0.000323,-0.002193,1.036,0.045,-0.042,5779,1.7143322778756602,0.08298262831470148,-0.25817664781460364,102,9579641,7.126,5.1e-05,0.9969950376445078,0.00013262781061564515,0.9999996002041858,5.1e-05,0.9999486002245753
5456651,K00835.01,1,CANDIDATE,1.0,11.76307164,39.560696,2.35,0.17,-0.08,0.028519,0.001069,-0.000443,0.769,0.038,-0.036000000000000004,4959,2.400181525720488,0.14886658095479272,-0.11838624957328094,973,5456651,11.763,4e-05,0.9969954732412446,0.00015368871703234642,0.9999995367753879,4e-05,0.9999595367939168
5456651,K00835.02,2,CANDIDATE,0.878,56.22792710000001,16.481398000000002,2.37,0.17,-0.09,0.028683,0.005581,-0.002562,0.769,0.038,-0.036000000000000004,4959,2.4139838950257992,0.48461186380060506,-0.24343961350364815,1007,5456651,56.228,0.00072,0.9708535140766821,0.04244803029078157,0.9986691543703919,0.00072,0.9979501125792452
7938496,K00900.01,1,CANDIDATE,1.0,13.81020318,40.226162,4.56,1.33,-0.88,0.036595,0.0001,-0.003401,1.097,0.09699999999999999,-0.087,5942,4.393512179949031,0.38867287158145686,-0.5367780272720292,680,7938496,13.81,0.046,0.9970749401860266,0.00014023504745228028,0.9999995885430301,0.046,0.9539996074700506
8013419,K00901.01,1,CANDIDATE,1.0,12.732624065,209.49731,4.87,0.97,-0.96,0.08251900000000001,0.000927,-0.001852,0.687,0.021,-0.021,3950,6.204319425198214,0.2020533699396651,-0.2352808356439783,681,8013419,12.733,0.06,0.9975989262258647,1.3898140700471493e-19,1.0,0.06,0.94
8018547,K00902.01,1,CANDIDATE,0.966,83.92494032,121.1208,4.78,0.34,-0.47,0.086015,0.000594,-0.001349,0.706,0.021,-0.021,3960,6.646030811571859,0.20294427934883286,-0.22348199378022454,682,8018547,83.925,0.0052,0.997598926128567,4.339201395250857e-11,0.9999999999998955,0.0052,0.9947999999998961
8150320,K00904.01,1,CANDIDATE,1.0,2.211116989,32.73535,1.85,0.13,-0.05,0.026289,0.002509,-0.002111,0.6759999999999999,0.034,-0.032,4500,1.9449310871507675,0.2098210733881385,-0.18129498550818665,684,8150320,2.211,0.0001,0.9952940251354783,0.0005031438991074672,0.9999976198244763,0.0001,0.9998976200624939
8150320,K00904.02,3,CANDIDATE,0.997,27.9541337,15.262756,1.9,0.13,-0.06,0.026973,0.001433,-0.0006940000000000001,0.6759999999999999,0.034,-0.032,4500,1.9955352510067954,0.14599045736379432,-0.10751512869051259,685,8150320,27.954,0.019,0.9547304143860365,0.029990615705344607,0.9985339958245883,0.019,0.9795618499039211
